locus	allele	frequency
D3S1358	12	0.0013 
D3S1358	13	0.0026 
D3S1358	14	0.0379 
D3S1358	15	0.3295 
D3S1358	16	0.3023 
D3S1358	17	0.2545 
D3S1358	18	0.0629 
D3S1358	19	0.0078 
D3S1358	20	0.0013 
CSF1PO	7	0.0082 
CSF1PO	8	0.0013 
CSF1PO	9	0.0435 
CSF1PO	10	0.2308 
CSF1PO	11	0.2506 
CSF1PO	12	0.3725 
CSF1PO	13	0.0810 
CSF1PO	14	0.0099 
CSF1PO	15	0.0022 
D2S441	9	0.0010 
D2S441	9.1	0.0234 
D2S441	10	0.2363 
D2S441	10.1	0.0010 
D2S441	11	0.2930 
D2S441	11.1	0.0010 
D2S441	11.3	0.0850 
D2S441	12	0.1904 
D2S441	12.3	0.0010 
D2S441	13	0.0146 
D2S441	14	0.1377 
D2S441	14.1	0.0020 
D2S441	15	0.0137 
D21S11	27	0.0026 
D21S11	28	0.0530 
D21S11	28.2	0.0043 
D21S11	29	0.2704 
D21S11	29.2	0.0013 
D21S11	30	0.2635 
D21S11	30.2	0.0065 
D21S11	30.3	0.0034 
D21S11	31	0.0810 
D21S11	31.2	0.0685 
D21S11	32	0.0280 
D21S11	32.2	0.1593 
D21S11	33	0.0052 
D21S11	33.2	0.0487 
D21S11	34	0.0013 
D21S11	34.2	0.0026 
D21S11	35.2	0.0004 
PentaE	5	0.0409 
PentaE	7	0.0009 
PentaE	8	0.0022 
PentaE	9	0.0142 
PentaE	10	0.0504 
PentaE	11	0.1852 
PentaE	12	0.1197 
PentaE	13	0.0573 
PentaE	14	0.0844 
PentaE	15	0.0676 
PentaE	16	0.0655 
PentaE	17	0.0659 
PentaE	17.4	0.0004 
PentaE	18	0.0762 
PentaE	18.4	0.0026 
PentaE	19	0.0568 
PentaE	19.4	0.0017 
PentaE	20	0.0422 
PentaE	20.4	0.0004 
PentaE	21	0.0280 
PentaE	22	0.0155 
PentaE	23	0.0121 
PentaE	24	0.0078 
PentaE	25	0.0013 
PentaE	27	0.0004 
PentaE	31	0.0004 
D8S1179	8	0.0004 
D8S1179	10	0.1443 
D8S1179	11	0.1232 
D8S1179	12	0.1236 
D8S1179	13	0.2059 
D8S1179	14	0.1606 
D8S1179	15	0.1568 
D8S1179	16	0.0693 
D8S1179	17	0.0125 
D8S1179	18	0.0034 
D5S818	7	0.0297 
D5S818	8	0.0047 
D5S818	9	0.0612 
D5S818	10	0.2171 
D5S818	11	0.3049 
D5S818	12	0.2274 
D5S818	13	0.1404 
D5S818	14	0.0138 
D5S818	15	0.0009 
D19S433	9	0.0004 
D19S433	11	0.0017 
D19S433	12	0.0418 
D19S433	12.2	0.0030 
D19S433	13	0.2743 
D19S433	13.2	0.0401 
D19S433	14	0.2429 
D19S433	14.2	0.1025 
D19S433	15	0.0754 
D19S433	15.2	0.1576 
D19S433	16	0.0172 
D19S433	16.2	0.0375 
D19S433	17	0.0013 
D19S433	17.2	0.0039 
D19S433	18.2	0.0004 
D16S539	8	0.0039 
D16S539	9	0.2438 
D16S539	10	0.1322 
D16S539	11	0.2760 
D16S539	12	0.2283 
D16S539	13	0.0991 
D16S539	14	0.0155 
D16S539	15	0.0013 
PentaD	6	0.0026 
PentaD	7	0.0112 
PentaD	8	0.0624 
PentaD	9	0.3794 
PentaD	10	0.1314 
PentaD	11	0.1193 
PentaD	12	0.1456 
PentaD	13	0.0986 
PentaD	14	0.0405 
PentaD	15	0.0078 
PentaD	16	0.0013 
vWA	12	0.0004 
vWA	13	0.0009 
vWA	14	0.2761 
vWA	15	0.0228 
vWA	16	0.1649 
vWA	17	0.2171 
vWA	18	0.2145 
vWA	19	0.0866 
vWA	20	0.0146 
vWA	21	0.0017 
vWA	25	0.0004 
D2S1338	16	0.0189 
D2S1338	17	0.0719 
D2S1338	18	0.0978 
D2S1338	19	0.2054 
D2S1338	20	0.1081 
D2S1338	21	0.0327 
D2S1338	22	0.0452 
D2S1338	23	0.1865 
D2S1338	24	0.1598 
D2S1338	25	0.0642 
D2S1338	26	0.0090 
D2S1338	29	0.0004 
D18S51	10	0.0022 
D18S51	11	0.0026 
D18S51	12	0.0482 
D18S51	13	0.1667 
D18S51	14	0.1899 
D18S51	15	0.1981 
D18S51	16	0.1486 
D18S51	17	0.0784 
D18S51	18	0.0461 
D18S51	19	0.0370 
D18S51	20	0.0237 
D18S51	21	0.0280 
D18S51	22	0.0194 
D18S51	23	0.0060 
D18S51	24	0.0039 
D18S51	25	0.0009 
D18S51	26	0.0004 
D22S1045	11	0.1689 
D22S1045	12	0.0039 
D22S1045	13	0.0039 
D22S1045	14	0.0361 
D22S1045	14.1	0.0010 
D22S1045	15	0.3516 
D22S1045	16	0.2227 
D22S1045	17	0.1875 
D22S1045	18	0.0234 
D22S1045	19	0.0010 
TH01	5	0.0001 
TH01	6	0.1115 
TH01	7	0.2825 
TH01	8	0.0586 
TH01	9	0.4513 
TH01	9.3	0.0366 
TH01	10	0.0568 
TH01	11	0.0022 
TH01	12	0.0004 
D12S391	15	0.0159 
D12S391	16	0.0069 
D12S391	17	0.0659 
D12S391	18	0.2067 
D12S391	18.3	0.0009 
D12S391	19	0.2041 
D12S391	20	0.1796 
D12S391	21	0.1258 
D12S391	22	0.0991 
D12S391	23	0.0500 
D12S391	24	0.0314 
D12S391	25	0.0116 
D12S391	26	0.0022 
TPOX	7	0.0009 
TPOX	8	0.5451 
TPOX	9	0.1176 
TPOX	10	0.0284 
TPOX	11	0.2877 
TPOX	12	0.0194 
TPOX	13	0.0009 
FGA	16	0.0034 
FGA	17	0.0017 
FGA	18	0.0258 
FGA	19	0.0543 
FGA	20	0.0491 
FGA	20.2	0.0004 
FGA	21	0.1296 
FGA	21.2	0.0056 
FGA	22	0.1892 
FGA	22.2	0.0043 
FGA	23	0.1913 
FGA	23.2	0.0103 
FGA	24	0.1702 
FGA	24.2	0.0095 
FGA	25	0.0887 
FGA	25.2	0.0034 
FGA	26	0.0491 
FGA	26.2	0.0004 
FGA	27	0.0103 
FGA	27.2	0.0013 
FGA	28	0.0017 
FGA	30	0.0004 
D13S317	7	0.0026 
D13S317	8	0.3040 
D13S317	9	0.1322 
D13S317	10	0.1494 
D13S317	11	0.2257 
D13S317	12	0.1391 
D13S317	13	0.0401 
D13S317	14	0.0065 
D13S317	15	0.0004 
D1S1656	10	0.0010 
D1S1656	11	0.0767 
D1S1656	12	0.0437 
D1S1656	13	0.1068 
D1S1656	14	0.0961 
D1S1656	15	0.2699 
D1S1656	16	0.2049 
D1S1656	16.3	0.0087 
D1S1656	17	0.0660 
D1S1656	17.3	0.0854 
D1S1656	18	0.0126 
D1S1656	18.3	0.0252 
D1S1656	19	0.0010 
D1S1656	19.3	0.0010 
D1S1656	20.3	0.0010 
D10S1248	8	0.0020 
D10S1248	10	0.0010 
D10S1248	11	0.0029 
D10S1248	12	0.0703 
D10S1248	13	0.3467 
D10S1248	14	0.2510 
D10S1248	15	0.2119 
D10S1248	16	0.0967 
D10S1248	17	0.0166 
D10S1248	18	0.0010 
D6S1043	9	0.0026 
D6S1043	10	0.0349 
D6S1043	11	0.1266 
D6S1043	12	0.1339 
D6S1043	12.3	0.0017 
D6S1043	13	0.1421 
D6S1043	14	0.1404 
D6S1043	15	0.0181 
D6S1043	16	0.0039 
D6S1043	17	0.0345 
D6S1043	17.3	0.0009 
D6S1043	18	0.1559 
D6S1043	18.2	0.0004 
D6S1043	19	0.1378 
D6S1043	20	0.0538 
D6S1043	20.3	0.0026 
D6S1043	21	0.0073 
D6S1043	21.3	0.0017 
D6S1043	22.3	0.0009 
D7S820	7	0.0065 
D7S820	8	0.1481 
D7S820	9	0.0603 
D7S820	9.1	0.0060 
D7S820	9.2	0.0022 
D7S820	10	0.1494 
D7S820	10.1	0.0013 
D7S820	11	0.3721 
D7S820	12	0.2166 
D7S820	13	0.0357 
D7S820	14	0.0017 
D6S477	10	0.0136 
D6S477	11	0.0019 
D6S477	12	0.0592 
D6S477	13	0.1981 
D6S477	14	0.1981 
D6S477	15	0.2981 
D6S477	16	0.1913 
D6S477	17	0.0301 
D6S477	18	0.0097 
D18S535	9	0.2340 
D18S535	10	0.0505 
D18S535	11	0.0223 
D18S535	12	0.0757 
D18S535	13	0.2097 
